id,pubmid
Echoka Elizabeth,31855511
Muga Winstoun,31855511
Fiaboe Komi K M,31853552
Mohamed Samira A,31853545
Ekesi Sunday,31853545
Mworia Joseph Kiambi,31853510
Kibiti Cromwell Mwiti,31853510
Ngugi Mathew Piero,31853510
Ngeranwa Joseph Ngari,31853510
Simtowe Franklin,31853160
Marenya Paswel,31853160
Lutukai Mercy,31852740
Bunde Elizabeth A,31852740
Hatch Benjamin,31852740
Mohamed Zoya,31852740
Yavari Shahrzad,31852740
Some Ernest,31852740
Chweya Amos,31852740
Kania Caroline,31852740
Ross Jesse C,31852740
Keddem Carmit,31852740
Chandani Yasmin,31852740
Kaseje Margaret,31852697
Mwangome Martha,31852605
Aguayo Victor M,31852600
Mugambi Gladys,31852600
Piwoz Ellen,31852600
Sullivan Lucy,31852600
Olando Yvonne,31852536
Kuria Mary,31852536
Mathai Muthoni,31852536
Huffman Mark D,31852536
Broekhuis Femke,31851671
Kamau Joseph,31851671
Sanders Eduard J,31850686
Cohen Myron,31850686
Patel Pragna,31850686
Rutstein Sarah E,31850686
Ananworanich Jintanat,31850686
Clancy Matthew S,31850398
Cook-Deegan Robert,31850398
Doerr Megan,31850398
Federer Lisa,31850398
Kariuki Thomas M,31850398
Kittrie Elizabeth Robboy,31850398
Mangravite Lara M,31850398
Marincola Elizabeth,31850398
Mietchen Daniel,31850398
Namchuk Mark,31850398
Nosek Brian A,31850398
Peter Shepelo Getrude,31849422
Gakuya Daniel Waweru,31849422
Maingi Ndichu,31849422
Mulei Charles Matiku,31849422
Olwanda Easter,31849036
Kahn James G,31849036
Lindahl Johanna,31848876
Bornstein Marc H,31847773
Steinberg Laurence,31847773
Deater-Deckard Kirby,31847773
Oburu Paul,31847773
Lutomiah Joel,31846495
Sang Rosemary,31846495
Ngongo C J,31846206
Raassen Tjip,31846206
Temmerman M,31846206
Mariga Alfred M,31846079
Mutuku Martin W,31845890
Mkoji Gerald M,31845890
Kariuki Samuel,31845128
Nagel Tobi E,31845128
Mwangala Patrick N,31844836
Newton Charles R,31844836
Abubakar Amina,31844836
Kugeria Peterson Mutembei,31844768
Mwangi Isaac Waweru,31844768
Muthengia Jackson Wachira,31844768
Njoroge Peter Waithaka,31844768
Mutitu Daniel Karanja,31844753
Wachira Jackson Muthengia,31844753
Mwirichia Romano,31844753
Thiong'o Joseph Karanja,31844753
Munyao Onesmus Mulwa,31844753
Muriithi Genson,31844753
Arika Wycliffe Makori,31844729
Kibiti Cromwell Mwiti,31844729
Njagi Joan Murugi,31844729
Ngugi Mathew Piero,31844729
Rainey Hugo,31844192
Savy Conrad E,31844192
Victurine Ray,31844192
Kiesecker Joseph,31844192
Stevens Todd,31844192
Nuermberger Eric,31843996
Otieno Peter O,31843827
Wambiya Elvis Omondi Achach,31843827
Mohamed Shukri F,31843827
Donfouet Hermann Pythagore Pierre,31843827
Mutua Martin K,31843827
Djikeng Appolinaire,31842995
Odongo David O,31842995
Okello George,31842872
Molyneux Sassy,31842872
Zakayo Scholastica,31842872
Jones Caroline,31842872
Chi Primus Che,31841555
Maina Michuki,31841540
Zosi Mathias,31841540
Kimemia Grace,31841540
Mwaniki Paul,31841540
English Mike,31841540
Mkoji Gerald M,31841501
Parker Jenna M,31840634
Goldenberg Shifra Z,31840634
Letitiya David,31840634
Wittemyer George,31840634
Vanlauwe Bernard,31839690
Craufurd Peter,31839690
Murray Anna L,31839311
Napotnik Julie A,31839311
Rayner Justine S,31839311
Mitro Brittany,31839311
Norville Joshua,31839311
Faith Sitnah H,31839311
Eleveld Alie,31839311
Jellison Kristen L,31839311
Lantagne Daniele S,31839311
Yonga Gerald,31839177
Maia Marta F,31839144
Kipyego Essau Serem,31837607
Gitau George,31837607
Vanleeuwen John,31837607
Kimeli Peter,31837607
Abuom Tequiero Okumu,31837607
Gakuya Daniel,31837607
Muraya Joan,31837607
Makau Dennis,31837607
Matey Elizabeth J,31837398
Songok Elijah M,31837398
Osano Aloys M,31837036
Maghanga Justin K,31837036
Gitaka Jesse,31836757
Kongere James,31836757
Mogeni Polycarp,31836742
Omedo Irene,31836742
Williams Tom,31836742
Bejon Philip,31836742
Mukoye Benard,31836513
Mangeni Bonphace Collins,31836513
Were Hassan,31836513
Harmsen Bart J,31835670
Soorae Pritpal,31835670
Siambi Moses,31835420
Ngongo Bahati Prince,31834891
Ochola Phares,31834891
Ndegwa Joyce,31834891
Katuse Paul,31834891
Balvanera Patricia,31831642
Brauman Kate A,31831642
Liu Jianguo,31831642
Polasky Stephen,31831642
Chowdhury Rinku Roy,31831642
Visseren-Hamakers Ingrid,31831642
Agarwal Smisha,31831550
Anaba Udochisom,31831550
Abuya Timothy,31831550
Obadha Melvin,31831550
Warren Charlotte E,31831550
Otina Beatrice,31831071
Wesonga Hezron,31831071
Gicheru Nimmo,31831071
Stuke Kristin,31831071
Poole E Jane,31831071
Colston Angie,31831071
Gichuhi Stephen,31830848
Gichana Josiah Otwoma,31830799
Ushie Boniface Ayanbekongshie,31830102
Juma Kenneth,31830102
Kimemia Grace,31830102
Ouedraogo Ramatou,31830102
Bangha Martin,31830102
Mutua Michael,31830102
Masha Simon Chengo,31830061
Owuor Collins,31830061
Ngoi Joyce Mwongeli,31830061
Sanders Eduard J,31830061
de Villiers Etienne P,31830061
Gichuki Paul M,31829425
Sayasone Somphou,31829425
Rochus David,31829046
Arsenault Catherine,31828923
English Mike,31828923
Gathara David,31828923
Kruk Margaret E,31828923
Towett Erick Kibet,31828435
Kamali Anatoli,31828207
Kanyange L,31828081
Kamau J,31828081
Ombori O,31828081
Muthini M,31828081
Okoth Sheila,31827520
Okumu Mitchel Otieno,31824667
Patel Minal Naran,31824667
Bhogayata Foram Rajnkant,31824667
Ochola Francis Okumu,31824667
Olweny Irene Awuor,31824667
Onono Joshua Orungo,31824667
Gikunju Joseph Kangangi,31824667
Beyene Yoseph,31824533
Gowda Manje,31824533
Olsen Michael,31824533
Robbins Kelly R,31824533
Gao Star Yanxin,31824533
Mugo Stephen,31824533
Prasanna Boddupalli M,31824533
Obanda Vincent,31824465
Ommeh Sheila,31824465
Agwanda Bernard,31824465
Ngwieri Thomas,31823955
Allen Holley,31823955
Seewald Meghan,31823692
Martin Lisa A,31823692
Echeverri Lina,31823692
Njunguru Jesse,31823692
Hassinger Jane A,31823692
Harris Lisa H,31823692
Ngigi Anastasiah N,31820117
Magu Martin M,31820117
Muendo Boniface M,31820117
Njuguna Irene,31819292
Mburu Caren,31819292
Mugo Cyrus,31819292
Black Danae A,31819292
Itindi Janet,31819292
Onyango Alvin,31819292
Oyiengo Laura,31819292
Wamalwa Dalton,31819292
Sumner Kelsey M,31819062
Obala Andrew A,31819062
Mangeni Judith N,31819062
Chung Michael H,31818716
McGrath Christine J,31818716
Beck Ingrid A,31818716
Levine Molly,31818716
