pmid,allauthors,num_label
31861984,Shah Jasmit,26906
31861984,Brock Guy N,3123
31861984,Gaskins Jeremy,6841
31861452,Mutiga Samuel,18493
31861452,Njuguna Joyce,20694
31861452,Machuka Eunice,14491
31861452,Senay Senait,26819
31861452,Stomeo Francesca,27996
31860571,Mehta Naaman,16300
31860571,Orangʼo Omenge,23430
31860571,Itsura Peter,9402
31860571,Tonui Philip,28891
31860571,Liu Tao,13960
31860571,Cu-Uvin Susan,4720
31858933,Termote Céline,28527
31857665,Malala John O,14974
31857665,Lotuliakou David E,14091
31857297,Kombe Francis Kazungu,12577
31857297,Marsh Vicki,15328
31857297,Molyneux Sassy,16955
31857297,Kamuya Dorcas Mwikali,10405
31857297,Ikamba Dorothy,9177
31857297,Kinyanjui Samson Muchina,11945
31856848,Oronje Rose N,23490
31856848,Murunga Violet I,18173
31856747,Mumma Jane,17812
31856747,Simiyu Sheillah,27319
31856747,Aseyo Evalyne,1413
31856747,Anderson John,1147
31856747,Baker Kelly K,1833
31856245,Onono Maricianah Atieno,23164
31856245,Okoro Dan Odhiambo,22383
31856245,Bukusi Elizabeth Anne,3315
31856196,Gichangi Peter,7119
31855611,Herrman Timothy J,8599
31855611,Hoffmann Vivian,8754
31855611,Muiruri Anne,17567
31855611,McCORMICK Cindy,16057
31855511,Izugbara Chimaraoke,9421
31855511,Wekesah Frederick Murunga,30643
31855511,Sebany Meroji,26745
31855511,Echoka Elizabeth,5610
31855511,Muga Winstoun,17406
31853552,Fiaboe Komi K M,6264
31853545,Mohamed Samira A,16868
31853545,Ekesi Sunday,5710
31853510,Mworia Joseph Kiambi,19210
31853510,Kibiti Cromwell Mwiti,11420
31853510,Ngugi Mathew Piero,20210
31853510,Ngeranwa Joseph Ngari,20087
31853160,Simtowe Franklin,27348
31853160,Marenya Paswel,15246
31852740,Lutukai Mercy,14262
31852740,Bunde Elizabeth A,3334
31852740,Hatch Benjamin,8399
31852740,Mohamed Zoya,16875
31852740,Yavari Shahrzad,31326
31852740,Some Ernest,27661
31852740,Chweya Amos,4293
31852740,Kania Caroline,10485
31852740,Ross Jesse C,25913
31852740,Keddem Carmit,11026
31852740,Chandani Yasmin,3799
31852697,Kaseje Margaret,10822
31852605,Mwangome Martha,18968
31852600,Aguayo Victor M,524
31852600,Mugambi Gladys,17412
31852600,Piwoz Ellen,24800
31852600,Sullivan Lucy,28114
31852536,Olando Yvonne,22522
31852536,Kuria Mary,12980
31852536,Mathai Muthoni,15566
31852536,Huffman Mark D,8989
31851671,Broekhuis Femke,3131
31851671,Kamau Joseph,10295
31850686,Sanders Eduard J,26334
31850686,Cohen Myron,4420
31850686,Patel Pragna,24402
31850686,Rutstein Sarah E,26093
31850686,Ananworanich Jintanat,1104
31850398,Clancy Matthew S,4312
31850398,Cook-Deegan Robert,4540
31850398,Doerr Megan,5318
31850398,Federer Lisa,6165
31850398,Kariuki Thomas M,10766
31850398,Kittrie Elizabeth Robboy,12286
31850398,Mangravite Lara M,15135
31850398,Marincola Elizabeth,15268
31850398,Mietchen Daniel,16521
31850398,Namchuk Mark,19361
31850398,Nosek Brian A,20816
31849422,Peter Shepelo Getrude,24623
31849422,Gakuya Daniel Waweru,6723
31849422,Maingi Ndichu,14814
31849422,Mulei Charles Matiku,17706
31849036,Olwanda Easter,22675
31849036,Kahn James G,10117
31848876,Lindahl Johanna,13877
31847773,Bornstein Marc H,2874
31847773,Steinberg Laurence,27892
31847773,Deater-Deckard Kirby,5026
31847773,Oburu Paul,21469
31846495,Lutomiah Joel,14254
31846495,Sang Rosemary,26381
31846206,Ngongo C J,20158
31846206,Raassen Tjip,25139
31846206,Temmerman M,28491
31846079,Mariga Alfred M,15260
31845890,Mutuku Martin W,18621
31845890,Mkoji Gerald M,16777
31845128,Kariuki Samuel,10755
31845128,Nagel Tobi E,19299
31844836,Mwangala Patrick N,18841
31844836,Newton Charles R,19901
31844836,Abubakar Amina,175
31844768,Kugeria Peterson Mutembei,12879
31844768,Mwangi Isaac Waweru,18891
31844768,Muthengia Jackson Wachira,18427
31844768,Njoroge Peter Waithaka,20638
31844753,Mutitu Daniel Karanja,18550
31844753,Wachira Jackson Muthengia,29565
31844753,Mwirichia Romano,19163
31844753,Thiong'o Joseph Karanja,28621
31844753,Munyao Onesmus Mulwa,17940
31844753,Muriithi Genson,18052
31844729,Arika Wycliffe Makori,1325
31844729,Kibiti Cromwell Mwiti,11420
31844729,Njagi Joan Murugi,20400
31844729,Ngugi Mathew Piero,20210
31844192,Rainey Hugo,25198
31844192,Savy Conrad E,26483
31844192,Victurine Ray,29417
31844192,Kiesecker Joseph,11479
31844192,Stevens Todd,27947
31843996,Nuermberger Eric,20863
31843827,Otieno Peter O,23778
31843827,Wambiya Elvis Omondi Achach,29950
31843827,Mohamed Shukri F,16873
31843827,Donfouet Hermann Pythagore Pierre,5347
31843827,Mutua Martin K,18590
31842995,Djikeng Appolinaire,5300
31842995,Odongo David O,21824
31842872,Okello George,22269
31842872,Molyneux Sassy,16955
31842872,Zakayo Scholastica,31489
31842872,Jones Caroline,9763
31841555,Chi Primus Che,4121
31841540,Maina Michuki,14768
31841540,Zosi Mathias,31650
31841540,Kimemia Grace,11765
31841540,Mwaniki Paul,18995
31841540,English Mike,5876
31841501,Mkoji Gerald M,16777
31840634,Parker Jenna M,24337
31840634,Goldenberg Shifra Z,7574
31840634,Letitiya David,13688
31840634,Wittemyer George,31045
31839690,Vanlauwe Bernard,29323
31839690,Craufurd Peter,4664
31839311,Murray Anna L,18146
31839311,Napotnik Julie A,19415
31839311,Rayner Justine S,25371
31839311,Mitro Brittany,16751
31839311,Norville Joshua,20815
31839311,Faith Sitnah H,6068
31839311,Eleveld Alie,5747
31839311,Jellison Kristen L,9601
31839311,Lantagne Daniele S,13390
31839177,Yonga Gerald,31387
31839144,Maia Marta F,14690
31837607,Kipyego Essau Serem,12087
31837607,Gitau George,7316
31837607,Vanleeuwen John,29324
31837607,Kimeli Peter,11763
31837607,Abuom Tequiero Okumu,204
31837607,Gakuya Daniel,6721
31837607,Muraya Joan,18005
31837607,Makau Dennis,14877
31837398,Matey Elizabeth J,15563
31837398,Songok Elijah M,27688
31837036,Osano Aloys M,23529
31837036,Maghanga Justin K,14621
31836757,Gitaka Jesse,7299
31836757,Kongere James,12607
31836742,Mogeni Polycarp,16826
31836742,Omedo Irene,22773
31836742,Williams Tom,30940
31836742,Bejon Philip,2280
31836513,Mukoye Benard,17664
31836513,Mangeni Bonphace Collins,15129
31836513,Were Hassan,30707
31835670,Harmsen Bart J,8289
31835670,Soorae Pritpal,27706
31835420,Siambi Moses,27186
31834891,Ngongo Bahati Prince,20157
31834891,Ochola Phares,21589
31834891,Ndegwa Joyce,19552
31834891,Katuse Paul,10919
31831642,Balvanera Patricia,1900
31831642,Brauman Kate A,3041
31831642,Liu Jianguo,13950
31831642,Polasky Stephen,24854
