pmid,num_label
31886019,20756
31886019,19521
31885634,22046
31885634,3890
31885634,30416
31885634,6900
31885634,22469
31885634,134
31885453,14989
31883526,13717
31883526,15566
31883526,3866
31883526,23109
31883526,20710
31883526,23229
31883526,25930
31883526,23671
31883526,19915
31883526,10117
31883526,4407
31883526,3308
31883526,8
31883526,3352
31883526,2736
31883526,19313
31883526,16290
31882903,4096
31882903,4642
31882903,28938
31881898,27547
31881898,4513
31881898,5374
31881729,28451
31881729,11961
31881729,20249
31881729,21656
31881652,6021
31881652,31415
31881652,9730
31881652,9487
31881652,3862
31881652,25919
31881652,17073
31881652,7136
31881652,9287
31881473,18990
31881063,23471
31881063,18931
31881063,16348
31881063,1058
31881031,9818
31881031,18262
31881031,16694
31881031,30264
31881031,4836
31881031,18227
31881031,14176
31881031,23229
31881031,11975
31881031,22362
31881031,17185
31881031,22900
31881031,1666
31881031,20023
31881031,31603
31881031,18563
31881031,4979
31878946,11370
31878946,4276
31878322,31439
31878322,10663
31878322,18425
31878322,8529
31878322,17342
31878322,9527
31878322,31532
31878322,5167
31878322,24503
31877962,20915
31877962,7711
31877962,2480
31877962,18066
31877962,14945
31877962,22624
31877962,28159
31877962,3099
31877962,4883
31877962,24965
31876316,20790
31876316,1523
31876316,29091
31876316,12407
31876316,25915
31876316,27977
31874937,26393
31874937,16899
31874937,13938
31874937,2183
31874937,7595
31874937,14356
31874937,23169
31874937,29543
31874937,29769
31874937,25134
31874937,22683
31874937,7112
31874937,17543
31874341,2163
31874341,14536
31874341,21492
31874341,20294
31874341,7915
31874184,1526
31874184,9466
31874184,31445
31874184,4707
31874184,14994
31874184,30928
31874184,30769
31874184,3348
31874184,10918
31874184,4453
31874184,5939
31874184,4276
31874184,4700
31874184,27011
31873821,15487
31872948,5152
31872948,11909
31872948,24769
31872948,1769
31872948,9704
31872774,24332
31872774,20658
31872774,22841
31872230,20186
31872230,21773
31872230,504
31872230,13239
31872230,23519
31872230,21460
31872230,15118
31872230,14167
31872230,17975
31872230,22696
31872230,28492
31871452,1025
31871452,13223
31871452,22698
31870325,27093
31870325,17662
31870325,24606
31870325,31255
31870325,969
31870325,27441
31870236,19274
31870236,498
31870236,23718
31870236,21742
31870236,16309
31869666,12011
31869666,16387
31869385,605
31867465,23854
31867465,14840
31867465,14402
31867465,29074
31865926,1747
31865926,5026
31865926,5183
31865926,21469
31865926,24376
31865926,27892
31865537,14692
31865537,20133
31865537,17908
31865537,20430
31865537,14211
31864916,13711
31864916,19449
31864916,24936
31864916,28511
31864916,3059
31864916,21323
31864916,16660
31864916,22916
31864916,21528
31864916,23946
31864916,2682
31864916,6101
31864916,31191
31864916,8897
31864916,19458
31864916,12735
31861984,26906
31861984,3123
31861984,6841
31861452,18493
31861452,20694
31861452,14491
31861452,26819
31861452,27996
31860571,16300
31860571,23430
31860571,9402
31860571,28891
31860571,13960
31860571,4720
31858933,28527
31857665,14974
31857665,14091
31857297,12577
31857297,15328
31857297,16955
31857297,10405
31857297,9177
31857297,11945
31856848,23490
31856848,18173
31856747,17812
31856747,27319
31856747,1413
31856747,1147
31856747,1833
31856245,23164
31856245,22383
31856245,3315
31856196,7119
31855611,8599
31855611,8754
31855611,17567
31855611,16057
31855511,9421
31855511,30643
31855511,26745
31855511,5610
31855511,17406
31853552,6264
31853545,16868
31853545,5710
31853510,19210
31853510,11420
31853510,20210
31853510,20087
31853160,27348
31853160,15246
31852740,14262
31852740,3334
31852740,8399
31852740,16875
31852740,31326
31852740,27661
31852740,4293
31852740,10485
31852740,25913
31852740,11026
31852740,3799
31852697,10822
31852605,18968
31852600,524
31852600,17412
31852600,24800
31852600,28114
31852536,22522
31852536,12980
31852536,15566
31852536,8989
31851671,3131
31851671,10295
31850686,26334
31850686,4420
31850686,24402
31850686,26093
31850686,1104
31850398,4312
31850398,4540
31850398,5318
31850398,6165
31850398,10766
31850398,12286
31850398,15135
31850398,15268
31850398,16521
31850398,19361
31850398,20816
31849422,24623
31849422,6723
31849422,14814
31849422,17706
31849036,22675
31849036,10117
31848876,13877
31847773,2874
31847773,27892
31847773,5026
31847773,21469
31846495,14254
31846495,26381
31846206,20158
31846206,25139
31846206,28491
31846079,15260
31845890,18621
31845890,16777
31845128,10755
31845128,19299
31844836,18841
31844836,19901
31844836,175
31844768,12879
31844768,18891
31844768,18427
31844768,20638
31844753,18550
31844753,29565
31844753,19163
31844753,28621
31844753,17940
31844753,18052
31844729,1325
31844729,11420
31844729,20400
31844729,20210
31844192,25198
31844192,26483
31844192,29417
31844192,11479
31844192,27947
31843996,20863
31843827,23778
31843827,29950
31843827,16873
31843827,5347
31843827,18590
31842995,5300
31842995,21824
31842872,22269
31842872,16955
31842872,31489
31842872,9763
31841555,4121
31841540,14768
31841540,31650
31841540,11765
31841540,18995
31841540,5876
31841501,16777
31840634,24337
31840634,7574
31840634,13688
31840634,31045
31839690,29323
31839690,4664
31839311,18146
31839311,19415
31839311,25371
31839311,16751
31839311,20815
31839311,6068
31839311,5747
31839311,9601
31839311,13390
31839177,31387
31839144,14690
31837607,12087
31837607,7316
31837607,29324
31837607,11763
31837607,204
31837607,6721
31837607,18005
31837607,14877
31837398,15563
31837398,27688
31837036,23529
31837036,14621
31836757,7299
31836757,12607
31836742,16826
31836742,22773
31836742,30940
31836742,2280
31836513,17664
31836513,15129
31836513,30707
31835670,8289
31835670,27706
31835420,27186
31834891,20157
31834891,21589
31834891,19552
31834891,10919
31831642,1900
31831642,3041
31831642,13950
31831642,24854
31831642,4233
31831642,29462
31831550,471
31831550,1083
31831550,219
31831550,21336
31831550,30393
31831071,23816
31831071,30755
31831071,7133
31831071,28057
31831071,24886
31831071,4482
31830848,7157
31830799,7109
31830102,29219
31830102,9883
31830102,11765
31830102,23875
31830102,1918
31830102,18593
31830061,15453
31830061,24069
31830061,20148
31830061,26334
31830061,31737
31829425,7173
31829425,26504
31829046,25721
31828923,1371
31828923,5876
31828923,6861
31828923,12847
31828435,28957
31828207,10237
31828081,10513
31828081,10288
31828081,22756
31828081,18439
31827520,22425
31824667,22466
31824667,24396
31824667,2511
31824667,21576
31824667,22678
31824667,23159
31824667,7221
31824533,2480
31824533,7711
31824533,22622
31824533,25656
31824533,6796
31824533,17476
31824533,24965
31824465,21345
31824465,22802
31824465,542
31823955,20308
31823955,843
31823692,26765
31823692,15366
31823692,5607
31823692,20723
31823692,8397
31823692,8312
31820117,20117
31820117,14647
31820117,17383
31819292,20687
31819292,15968
31819292,17456
31819292,2670
31819292,9398
31819292,23206
31819292,24133
31819292,29925
31819062,28136
31819062,21341
31819062,15132
31818716,4276
31818716,16153
31818716,2217
31818716,13710
31818716,16622
31818716,27610
31818716,1133
31818716,5437
31818716,4544
31818716,4203
31818716,31321
31818716,12062
31818716,26220
31818716,11370
31818716,6536
31818323,14781
31818323,175
31818323,12901
31817394,187
31817394,23092
31817394,10799
31817394,22643
31817394,11455
31815285,14247
31815285,27700
31815285,19053
31815285,20475
31814312,24654
31814312,9615
31814312,2711
31814312,31409
31814312,5234
31814312,8428
31814312,27044
31814312,27925
31813837,11909
31813837,24769
31813837,191
31813837,17491
31813837,13206
31813837,23229
31813837,2256
31813837,5151
31813837,1769
31813837,9704
31813076,23162
31813076,21919
31813076,199
31813076,24077
31813076,8516
31813076,3312
31813076,29114
31813076,8194
31812783,8293
31812783,20029
31812783,1349
31812783,8145
31812783,29451
31812783,11033
31812783,24230
31812783,26071
31803847,10571
31803847,20708
31803847,8150
31811960,21254
31811960,9637
31811599,12016
31811599,1185
31811599,23226
31811599,23275
31811597,7586
31811597,30551
31811597,21153
31811597,28997
31809879,5026
31809879,5183
31809879,21469
31809879,24376
31809879,27892
31809879,1747
31809549,30236
31809549,20684
31809549,4183
31809549,15962
31809549,7377
31809546,3786
31809543,27095
31809358,6190
31809358,8778
31809358,12659
31809358,8776
31809358,2025
31809357,3192
31809357,1903
31809357,26377
31809357,1668
31809357,3993
31809357,3787
31809357,3854
31809357,3558
31809357,4407
31809357,3312
31809357,8426
31809357,24635
31809324,19909
31809324,9069
31809324,16133
31809324,27074
31809324,27165
31809324,10294
31809324,19267
31809324,20254
31809324,26316
31809324,27259
31808245,25132
31808025,937
31807965,2611
31807212,15541
31807107,20157
