Id,Degree,Indegree,outDegree
15321,155,155,0
27602,153,153,0
3313,143,143,0
5876,141,141,0
2403,127,127,0
4407,114,114,0
1769,106,106,0
26707,104,104,0
9704,101,101,0
3059,99,99,0
30937,93,93,0
2280,89,89,0
15320,88,88,0
13129,85,85,0
6183,84,84,0
14836,82,82,0
7728,82,82,0
19903,80,80,0
6121,78,78,0
19901,77,77,0
25562,76,76,0
20784,75,75,0
3727,70,70,0
17465,70,70,0
28938,69,69,0
16942,67,67,0
11909,65,65,0
22098,63,63,0
16955,63,63,0
5710,62,62,0
26381,62,62,0
26334,62,62,0
3312,61,61,0
10755,61,61,0
24830,59,59,0
31281,59,59,0
20479,58,58,0
517,58,58,0
27600,57,57,0
19594,57,57,0
20766,55,55,0
8488,55,55,0
20265,55,55,0
16084,54,54,0
9705,53,53,0
19624,52,52,0
9558,52,52,0
7742,51,51,0
7368,50,50,0
5921,49,49,0
175,48,48,0
29925,47,47,0
24612,47,47,0
12448,46,46,0
11705,46,46,0
30489,46,46,0
23957,46,46,0
7421,46,46,0
17466,45,45,0
23894,45,45,0
9316,45,45,0
19687,44,44,0
31517,43,43,0
10760,43,43,0
6171,42,42,0
219,42,42,0
8391,42,42,0
14994,42,42,0
4085,42,42,0
3004,42,42,0
28492,42,42,0
29524,41,41,0
17131,41,41,0
9984,41,41,0
8189,41,41,0
19284,40,40,0
20708,40,40,0
4155,40,40,0
28459,38,38,0
31413,38,38,0
19833,38,38,0
31589,38,38,0
31354,37,37,0
2549,37,37,0
18268,37,37,0
19254,37,37,0
13419,36,36,0
4979,36,36,0
21289,36,36,0
11618,36,36,0
20468,36,36,0
16999,36,36,0
17117,36,36,0
17278,36,36,0
1269,35,35,0
2157,35,35,0
19100,35,35,0
15858,35,35,0
25504,35,35,0
31677,35,35,0
23162,34,34,0
6861,34,34,0
15328,33,33,0
8390,33,33,0
7119,33,33,0
1904,33,33,0
22347,33,33,0
1672,33,33,0
24564,33,33,0
21345,32,32,0
27524,32,32,0
12735,32,32,0
31678,32,32,0
15463,32,32,0
10762,32,32,0
16387,32,32,0
26508,31,31,0
10749,31,31,0
19964,31,31,0
8445,31,31,0
11369,31,31,0
29525,30,30,0
24594,30,30,0
19067,30,30,0
12901,30,30,0
19406,30,30,0
19160,29,29,0
6173,29,29,0
22099,29,29,0
9808,29,29,0
2457,29,29,0
21251,29,29,0
24051,28,28,0
8166,28,28,0
21351,28,28,0
17617,28,28,0
3471,28,28,0
7522,28,28,0
7573,28,28,0
28491,28,28,0
17150,28,28,0
29569,28,28,0
19285,28,28,0
22217,28,28,0
30703,28,28,0
11106,27,27,0
29050,27,27,0
895,27,27,0
18854,27,27,0
29227,27,27,0
4263,27,27,0
21743,27,27,0
2635,27,27,0
5330,27,27,0
6726,27,27,0
16089,27,27,0
29882,27,27,0
11370,27,27,0
2271,27,27,0
5134,26,26,0
18846,26,26,0
1535,26,26,0
6046,26,26,0
24518,26,26,0
13713,26,26,0
2632,26,26,0
18531,26,26,0
1702,26,26,0
17974,26,26,0
5871,26,26,0
18532,26,26,0
28453,26,26,0
6045,25,25,0
24610,25,25,0
5351,25,25,0
23910,25,25,0
16675,25,25,0
7992,25,25,0
10925,25,25,0
10598,25,25,0
5854,25,25,0
18322,25,25,0
10361,25,25,0
24769,25,25,0
29349,25,25,0
11844,25,25,0
17865,25,25,0
3326,25,25,0
19835,25,25,0
25667,25,25,0
521,24,24,0
29764,24,24,0
19898,24,24,0
30841,24,24,0
18981,24,24,0
14108,24,24,0
16518,24,24,0
17095,24,24,0
29011,24,24,0
30081,24,24,0
30945,24,24,0
16175,24,24,0
1949,24,24,0
19899,24,24,0
29761,23,23,0
30393,23,23,0
1109,23,23,0
15884,23,23,0
19592,23,23,0
22609,23,23,0
2631,23,23,0
19301,23,23,0
10884,23,23,0
620,23,23,0
3623,23,23,0
2315,23,23,0
30709,23,23,0
15462,23,23,0
7112,23,23,0
4777,23,23,0
13067,23,23,0
18153,23,23,0
23931,23,23,0
18508,23,23,0
3470,23,23,0
2273,23,23,0
31017,23,23,0
28076,22,22,0
11663,22,22,0
6894,22,22,0
10278,22,22,0
6292,22,22,0
8024,22,22,0
7424,22,22,0
9422,22,22,0
3366,22,22,0
1802,22,22,0
23367,22,22,0
17978,22,22,0
547,22,22,0
2634,22,22,0
17192,22,22,0
5666,22,22,0
4592,22,22,0
14360,22,22,0
2907,22,22,0
23312,22,22,0
15856,22,22,0
5234,21,21,0
25817,21,21,0
5071,21,21,0
16194,21,21,0
23805,21,21,0
3584,21,21,0
30692,21,21,0
16540,21,21,0
15029,21,21,0
20186,21,21,0
18014,21,21,0
15548,21,21,0
8055,21,21,0
1668,21,21,0
25926,21,21,0
31387,21,21,0
8626,21,21,0
5300,21,21,0
6618,21,21,0
29083,21,21,0
10097,21,21,0
2259,21,21,0
22916,21,21,0
1220,21,21,0
3854,21,21,0
19043,21,21,0
13249,21,21,0
23680,21,21,0
1647,21,21,0
542,21,21,0
22593,21,21,0
23218,20,20,0
633,20,20,0
11246,20,20,0
15158,20,20,0
14744,20,20,0
14547,20,20,0
21791,20,20,0
13341,20,20,0
16944,20,20,0
13322,20,20,0
4331,20,20,0
15094,20,20,0
18754,20,20,0
22000,20,20,0
19766,20,20,0
17667,20,20,0
8770,20,20,0
950,20,20,0
5123,20,20,0
24373,20,20,0
9867,20,20,0
29449,20,20,0
1542,20,20,0
30174,20,20,0
18887,20,20,0
5127,20,20,0
28582,20,20,0
30657,19,19,0
19312,19,19,0
15790,19,19,0
29070,19,19,0
25034,19,19,0
